,Dem. Parity,TPR,FPR,PPV
Sex:Male,0.21102181400688863,0.4996220710506425,0.08509234828496043,0.719260065288357
Sex:Female,0.03429101019462465,0.23673469387755103,0.00836382645060115,0.7837837837837838
Race:White,0.1659136092535695,0.4666666666666667,0.06306087800145525,0.7167755991285403
Race:Black,0.06042296072507553,0.3548387096774194,0.012302284710017574,0.825
Race:Asian-Pac-Islander,0.14,0.4230769230769231,0.04054054054054054,0.7857142857142857
Race:Amer-Indian-Eskimo,0.0684931506849315,0.4444444444444444,0.015625,0.8
Race:Other,0.044444444444444446,0.5,0.0,1.0
