model,accuracy,precision,recall,f1,roc_auc
Baseline RF,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9938822751322751
Tuned RF,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9923941798941799
