mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.15770277976989747,0.003966889598388373,0.015970134735107423,0.0019121609335535944,,sqrt,1,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9734513274336283,0.9642857142857143,0.9380530973451328,0.9655172413793104,0.9824561403508771,0.9647527041589326,0.014850921187534916,109
0.309844970703125,0.012179057996868074,0.024578094482421875,0.0011644626812841571,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9734513274336283,0.9642857142857143,0.9464285714285714,0.9743589743589743,0.9911504424778761,0.9699350059969529,0.01460477812598703,16
0.6156042575836181,0.020910022687326335,0.03881826400756836,0.0008873478499812565,,sqrt,1,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9739130434782609,0.9642857142857143,0.9464285714285714,0.9743589743589743,0.9911504424778761,0.9700273492058795,0.014628160171135949,13
0.15775890350341798,0.004334034436641776,0.014761686325073242,0.00010893657704464257,,sqrt,1,5,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9482758620689655,0.9642857142857143,0.9464285714285714,0.9655172413793104,0.9824561403508771,0.9613927059026878,0.013153147713555462,142
0.30347719192504885,0.007112946486901318,0.022835206985473634,0.00167832731214651,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9565217391304348,0.9734513274336283,0.9464285714285714,0.9743589743589743,0.9824561403508771,0.9666433505404971,0.013168204387487089,76
0.6245502948760986,0.016216978156522188,0.041505622863769534,0.0022982495994016703,,sqrt,1,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9565217391304348,0.9734513274336283,0.9464285714285714,0.9743589743589743,0.9824561403508771,0.9666433505404971,0.013168204387487089,76
0.15939044952392578,0.007812915261334161,0.016359615325927734,0.0018793304921515958,,sqrt,1,10,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.9565217391304348,0.954954954954955,0.9464285714285714,0.9655172413793104,0.9739130434782609,0.9594671100743065,0.009426848089936482,157
0.3205410957336426,0.0069500692069251815,0.02213602066040039,0.0004131468981878608,,sqrt,1,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9565217391304348,0.9642857142857143,0.9464285714285714,0.9655172413793104,0.9739130434782609,0.9613332619404582,0.0092711823770336,148
0.6186621189117432,0.005524384508789512,0.039271211624145506,0.001582853707533858,,sqrt,1,10,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9655172413793104,0.9642857142857143,0.9464285714285714,0.9655172413793104,0.9739130434782609,0.9631323623902335,0.009032665535627303,124
0.1601541519165039,0.006210288396876691,0.014401578903198242,0.0008546662419450869,,sqrt,2,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9565217391304348,0.954954954954955,0.9369369369369369,0.9743589743589743,0.9911504424778761,0.9627846095718354,0.018478179644680744,136
0.3047358989715576,0.0034644110595850926,0.0214752197265625,0.0014994120336238141,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9649122807017544,0.9642857142857143,0.9464285714285714,0.9743589743589743,0.9824561403508771,0.9664883362251782,0.012055267490571597,88
0.6112752914428711,0.013549586486596595,0.03978009223937988,0.0009286738464333357,,sqrt,2,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9655172413793104,0.9734513274336283,0.9464285714285714,0.9743589743589743,0.9824561403508771,0.9684424509902723,0.012244552471347163,28
0.14834370613098144,0.006335787791217678,0.01450204849243164,0.0006108776261790542,,sqrt,2,5,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9565217391304348,0.954954954954955,0.9464285714285714,0.9743589743589743,0.9911504424778761,0.9646829364701623,0.01605375465705103,112
0.30931572914123534,0.0027400639606814056,0.02148919105529785,0.0011101808020056992,,sqrt,2,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9739130434782609,0.9734513274336283,0.9464285714285714,0.9661016949152542,0.9911504424778761,0.970209015946718,0.014457907016083786,7
0.605486536026001,0.018711284838279284,0.042176103591918944,0.0065627023881453,,sqrt,2,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9655172413793104,0.9642857142857143,0.9464285714285714,0.9743589743589743,0.9824561403508771,0.9666093283606895,0.012041870702250879,82
0.15907888412475585,0.006601405748517723,0.01519479751586914,0.0016867656371295542,,sqrt,2,10,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.9482758620689655,0.954954954954955,0.9369369369369369,0.9743589743589743,0.9739130434782609,0.9576879543596185,0.014613951661593148,160
0.31508569717407225,0.005734620444464086,0.025505638122558592,0.003772498087523367,,sqrt,2,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.9655172413793104,0.9642857142857143,0.9464285714285714,0.9655172413793104,0.9739130434782609,0.9631323623902335,0.009032665535627303,124
0.6321990013122558,0.026031935553386606,0.04319639205932617,0.0074924132368710435,,sqrt,2,10,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.9655172413793104,0.9642857142857143,0.9464285714285714,0.9655172413793104,0.9739130434782609,0.9631323623902335,0.009032665535627303,124
0.16696596145629883,0.014486669237959333,0.013822507858276368,0.0005808893867874676,,sqrt,4,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.9482758620689655,0.954954954954955,0.9464285714285714,0.9743589743589743,0.9824561403508771,0.9612949006324687,0.01448562120906093,151
0.30387344360351565,0.014302669730727177,0.022404193878173828,0.0001372480318734573,,sqrt,4,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.9565217391304348,0.9642857142857143,0.9464285714285714,0.9661016949152542,0.9824561403508771,0.9631587720221703,0.011885024492543654,118
0.5869319438934326,0.06766359476204606,0.03228826522827148,0.005829849147095224,,sqrt,4,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.9655172413793104,0.9642857142857143,0.9464285714285714,0.9743589743589743,0.9739130434782609,0.9649007089861662,0.01012580024965875,97
0.14751501083374025,0.0031582375315580688,0.010649681091308594,0.002039044926218763,,sqrt,4,5,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.9482758620689655,0.954954954954955,0.9464285714285714,0.9743589743589743,0.9824561403508771,0.9612949006324687,0.01448562120906093,151
0.24966826438903808,0.02233444402012066,0.015535211563110352,0.001383565842208271,,sqrt,4,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.9565217391304348,0.9642857142857143,0.9464285714285714,0.9661016949152542,0.9824561403508771,0.9631587720221703,0.011885024492543654,118
0.47585501670837405,0.08838029133868902,0.025959157943725587,0.000998617561644987,,sqrt,4,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.9655172413793104,0.9642857142857143,0.9464285714285714,0.9743589743589743,0.9739130434782609,0.9649007089861662,0.01012580024965875,97
0.10962786674499511,0.010094087522602246,0.01089339256286621,0.0023633576496585548,,sqrt,4,10,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.9482758620689655,0.954954954954955,0.9464285714285714,0.9743589743589743,0.9911504424778761,0.9630337610578685,0.017190714026065333,133
0.21601247787475586,0.011633786429547512,0.015240097045898437,0.0008948788427155237,,sqrt,4,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.9565217391304348,0.9642857142857143,0.9464285714285714,0.9572649572649573,0.9824561403508771,0.9613914244921109,0.011972699835204116,145
0.5030736923217773,0.11826290907121827,0.02874898910522461,0.0051808172384494935,,sqrt,4,10,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.9565217391304348,0.9642857142857143,0.9464285714285714,0.9661016949152542,0.9739130434782609,0.961450152647647,0.009326715019173046,139
